country,total_cases,new_cases,total_deaths,new_deaths,total_recovered,active_cases,serious,cases_per_mpop,deaths_per_mpop,total_tests,tests_per_mpop,population,continent
Zimbabwe,5072,82,128 ,0,1998,2946,0,341,9,149748,10058,14888534 ,Africa
Malawi,4988,76,156 ,3,2576,2256,4,260,8,38451,2004,19185679 ,Africa
Hungary,4853,40,607 ,0,3590,656,6,503,63,372687,38591,9657251 ,Europe
Equatorial Guinea,4821,0,83 ,0,2182,2556,0,3424,59,44356,31503,1408014 ,Africa
CAR,4652,0,61 ,0,1728,2863,2,961,13,29930,6184,4839590 ,Africa
Hong Kong,4361,48,67 ,2,3392,902,30,581,9,780415,103995,7504369 ,Asia
Nicaragua,4115,0,128 ,0,2913,1074,0,620,19,0,0,6633985 ,North America
Montenegro,3930,73,73 ,0,2752,1105,0,6257,116,41729,66439,628076 ,Europe
Congo,3745,0,60 ,0,1625,2060,0,677,11,0,0,5533484 ,Africa
Namibia,3726,182,31 ,4,848,2847,14,1463,12,38743,15216,2546271 ,Africa
Eswatini,3670,71,68 ,3,1991,1611,10,3159,59,28380,24432,1161610 ,Africa
Thailand,3376,17,58 ,0,3173,145,1,48,0.8,749213,10730,69821712 ,Asia
Somalia,3250,23,93 ,0,2268,889,2,204,6,0,0,15942742 ,Africa
Cuba,3229,55,88 ,0,2547,594,3,285,8,319440,28205,11325748 ,North America
Cabo Verde,3136,63,33 ,0,2254,849,0,5633,59,61633,110709,556713 ,Africa
Mayotte,3119,0,39 ,0,2940,140,1,11401,143,13000,47521,273563 ,Africa
Sri Lanka,2886,4,11  ,0,2658,217,1,135,0.5,166737,7783,21424320 ,Asia
Suriname,2838,77,41 ,1,1894,903,15,4833,70,4449,7576,587268 ,South America
Slovakia,2801,62,31 ,0,1944,826,6,513,6,289590,53039,5459973 ,Europe
Mozambique,2708,70,19 ,0,1075,1614,0,86,0.6,75430,2406,31353176 ,Africa
Mali,2597,0,125 ,0,1979,493,0,128,6,29837,1469,20315702 ,Africa
South Sudan,2482,4,47 ,0,1175,1260,0,221,4,12044,1074,11209439 ,Africa
Slovenia,2369,37,129 ,0,2027,213,3,1140,62,141879,68245,2078974 ,Europe
Lithuania,2352,22,81 ,0,1691,580,6,866,30,570657,210009,2717297 ,Europe
Rwanda,2293,93,8 ,0,1604,681,0,177,0.6,323905,24938,12988585 ,Africa
Estonia,2177,3,63 ,0,1976,138,1,1641,47,132270,99703,1326646 ,Europe
Guinea-Bissau,2088,0,29 ,0,1015,1044,5,1058,15,1500,760,1973297 ,Africa
Benin,2014,0,38 ,0,1681,295,0,166,3,101987,8388,12158940 ,Africa
